token,strike,expiry,ltp,bid,ask,spread,day_volume,oi,iv,delta,gamma,theta,vega
72342,24900.0,2026-04-28,83.0,82.05,82.4,0.35,503295,313040,15.1,0.299,0.0002,-14.0078,19.5698
72346,24950.0,2026-04-28,73.45,73.7,74.55,0.85,73710,36205,15.13,0.2842,0.0002,-13.623,19.1002
72348,25000.0,2026-04-28,67.25,67.25,67.5,0.25,4900415,3792750,15.12,0.2765,0.0002,-13.4291,18.8619
72350,25050.0,2026-04-28,59.85,60.2,60.95,0.75,76180,60320,15.29,0.2593,0.0002,-12.9328,18.2405
72354,25100.0,2026-04-28,54.65,54.45,54.75,0.3,485680,275730,15.18,0.2541,0.0002,-12.7973,18.0683
72357,25150.0,2026-04-28,49.75,48.9,49.85,0.95,21385,23530,15.22,0.2426,0.0002,-12.4515,17.6266
72361,25200.0,2026-04-28,44.75,44.7,45.0,0.3,881660,388635,15.29,0.2329,0.0002,-12.1505,17.2383
72365,25250.0,2026-04-28,41.1,40.0,41.2,1.2,6825,14885,15.33,0.223,0.0002,-11.8304,16.8219
72367,25300.0,2026-04-28,36.8,36.45,36.65,0.2,494000,229320,15.44,0.2123,0.0002,-11.4709,16.3501
72369,25350.0,2026-04-28,32.7,32.75,33.9,1.15,12935,14820,15.74,0.1974,0.0002,-10.9346,15.6395
72383,25400.0,2026-04-28,30.25,30.0,30.25,0.25,262145,193180,15.61,0.1923,0.0002,-10.7603,15.4064
72385,25450.0,2026-04-28,28.2,27.25,28.05,0.8,40950,37635,15.7,0.1845,0.0002,-10.4711,15.0187
72395,25500.0,2026-04-28,24.9,24.85,25.0,0.15,1646450,1866215,15.73,0.1762,0.0002,-10.1557,14.5933
72419,25550.0,2026-04-28,23.65,22.8,23.8,1.0,17420,24570,15.98,0.1656,0.0002,-9.7322,14.0184
72422,25600.0,2026-04-28,21.25,21.25,21.35,0.1,251680,120705,16.07,0.1583,0.0002,-9.4394,13.619
72424,25650.0,2026-04-28,19.5,18.8,20.4,1.6,8580,16055,16.15,0.1505,0.0002,-9.1095,13.1666
72427,25700.0,2026-04-28,18.2,18.0,18.15,0.15,193960,172575,16.32,0.1434,0.0002,-8.8083,12.7517
72429,25750.0,2026-04-28,16.65,16.65,16.9,0.25,23595,18330,16.62,0.132,0.0002,-8.2905,12.036
72431,25800.0,2026-04-28,15.55,15.4,15.5,0.1,331695,174785,16.61,0.1286,0.0001,-8.1482,11.8366
72434,25850.0,2026-04-28,15.3,14.0,15.15,1.15,16640,19370,17.26,0.1157,0.0001,-7.5249,10.9715
72437,25900.0,2026-04-28,13.4,13.4,13.5,0.1,193700,103675,16.9,0.1161,0.0001,-7.5594,11.014
72439,25950.0,2026-04-28,11.95,11.95,13.6,1.65,26455,38480,17.33,0.1082,0.0001,-7.1713,10.4689
72441,26000.0,2026-04-28,12.3,12.2,12.3,0.1,2463955,3999905,17.32,0.1038,0.0001,-6.9565,10.1659
72457,26050.0,2026-04-28,11.0,10.4,12.0,1.6,4680,22425,17.53,0.0949,0.0001,-6.4947,9.5144
72459,26100.0,2026-04-28,10.55,10.45,10.55,0.1,118820,97565,17.65,0.0907,0.0001,-6.2758,9.2017
72467,26150.0,2026-04-28,10.1,9.6,10.05,0.45,9620,14430,17.79,0.0854,0.0001,-5.9896,8.7969
72483,26200.0,2026-04-28,9.05,9.05,9.15,0.1,268190,303095,17.82,0.082,0.0001,-5.8073,8.534
