token,strike,expiry,ltp,bid,ask,spread,day_volume,oi,iv,delta,gamma,theta,vega
74241,25200.0,2026-05-05,65.0,65.3,66.05,0.75,68250,18005,14.15,0.2911,0.0002,-14.0017,19.4656
74244,25250.0,2026-05-05,57.65,57.45,58.15,0.7,10010,4680,14.13,0.2796,0.0002,-13.6973,19.0995
74247,25300.0,2026-05-05,52.4,51.75,52.2,0.45,34645,30420,14.14,0.2701,0.0002,-13.4416,18.7785
74250,25350.0,2026-05-05,46.0,45.05,46.05,1.0,9620,6630,14.12,0.2586,0.0002,-13.1115,18.3662
74252,25400.0,2026-05-05,41.35,40.8,41.35,0.55,18135,12415,14.24,0.2467,0.0002,-12.7485,17.9153
74254,25450.0,2026-05-05,36.45,35.1,36.3,1.2,5720,7280,14.17,0.2375,0.0002,-12.4674,17.5557
74256,25500.0,2026-05-05,32.6,32.25,32.55,0.3,131560,90480,14.29,0.2263,0.0002,-12.1072,17.0847
74258,25550.0,2026-05-05,28.1,26.95,28.0,1.05,5070,3575,14.17,0.217,0.0002,-11.7936,16.6817
74260,25600.0,2026-05-05,25.2,24.5,25.2,0.7,7345,5850,14.21,0.2079,0.0002,-11.4792,16.2689
74262,25650.0,2026-05-05,22.7,21.1,22.0,0.9,4290,1820,14.56,0.1928,0.0002,-10.9119,15.5454
74269,25700.0,2026-05-05,21.0,20.2,21.15,0.95,11830,6565,14.51,0.1886,0.0002,-10.7768,15.3427
74272,25750.0,2026-05-05,19.55,18.05,19.1,1.05,3965,3575,14.73,0.1791,0.0002,-10.4062,14.8534
74280,25800.0,2026-05-05,16.1,16.05,16.9,0.85,12545,8580,14.5,0.1717,0.0002,-10.1254,14.4637
74289,25850.0,2026-05-05,15.1,15.1,16.25,1.15,7345,9815,14.78,0.1637,0.0002,-9.7995,14.0232
74370,25900.0,2026-05-05,14.95,13.95,14.9,0.95,9295,6630,15.12,0.1543,0.0002,-9.4023,13.4883
74376,25950.0,2026-05-05,14.25,12.8,14.05,1.25,1755,2925,15.28,0.1482,0.0002,-9.1466,13.135
74378,26000.0,2026-05-05,11.95,11.85,12.0,0.15,230750,91195,15.23,0.1401,0.0002,-8.7894,12.6452
74380,26050.0,2026-05-05,10.0,9.45,9.85,0.4,33020,13520,15.11,0.1324,0.0002,-8.4375,12.1696
74392,26100.0,2026-05-05,10.55,9.75,10.6,0.85,19305,11375,15.56,0.1265,0.0001,-8.1653,11.7871
74398,26150.0,2026-05-05,9.2,9.05,9.95,0.9,7345,5005,15.57,0.1197,0.0001,-7.8417,11.3386
