token,strike,expiry,ltp,bid,ask,spread,day_volume,oi,iv,delta,gamma,theta,vega
71799,22000.0,2026-05-26,52.9,52.85,52.9,0.05,596050,952315,22.91,-0.0821,0.0001,-3.29,12.0488
71821,22200.0,2026-05-26,64.75,62.65,63.2,0.55,97695,85085,22.48,-0.0996,0.0001,-3.7646,13.914
71833,22250.0,2026-05-26,67.8,65.55,66.75,1.2,9620,10075,22.43,-0.1035,0.0001,-3.8666,14.321
71837,22300.0,2026-05-26,69.9,69.4,70.55,1.15,41275,48100,22.17,-0.1101,0.0001,-4.0264,14.9603
71839,22350.0,2026-05-26,72.85,72.55,73.4,0.85,3835,13000,22.18,-0.1148,0.0001,-4.1395,15.4186
71841,22400.0,2026-05-26,77.3,75.8,76.2,0.4,38090,31070,21.92,-0.1205,0.0001,-4.2709,15.9509
71849,22450.0,2026-05-26,87.15,79.15,80.95,1.8,1300,2990,22.03,-0.1292,0.0001,-4.4565,16.7368
71860,22500.0,2026-05-26,83.0,82.95,83.25,0.3,1183650,1246635,21.62,-0.1321,0.0001,-4.5275,17.0064
71868,22550.0,2026-05-26,88.15,87.3,87.9,0.6,14300,4680,21.52,-0.138,0.0001,-4.6517,17.5232
71870,22600.0,2026-05-26,92.95,91.8,92.35,0.55,31135,62400,21.42,-0.1443,0.0001,-4.7787,18.057
71878,22650.0,2026-05-26,98.65,96.25,96.7,0.45,3510,8840,21.44,-0.1493,0.0001,-4.8792,18.4846
71880,22700.0,2026-05-26,101.05,100.45,100.95,0.5,32695,48815,21.15,-0.1568,0.0001,-5.0207,19.0879
71882,22750.0,2026-05-26,106.6,105.4,105.95,0.55,14170,9360,21.04,-0.1634,0.0001,-5.1417,19.6117
71884,22800.0,2026-05-26,109.75,109.95,110.5,0.55,72280,136890,20.88,-0.1701,0.0001,-5.2582,20.1209
71886,22850.0,2026-05-26,132.1,116.0,117.8,1.8,2080,5720,21.31,-0.1823,0.0001,-5.4472,21.0088
71888,22900.0,2026-05-26,122.55,122.35,123.2,0.85,41925,47450,20.78,-0.1837,0.0001,-5.485,21.1307
71890,22950.0,2026-05-26,128.15,127.85,128.4,0.55,9685,11375,20.57,-0.1904,0.0001,-5.589,21.61
71892,23000.0,2026-05-26,135.15,134.15,134.6,0.45,1230450,1662895,20.54,-0.1983,0.0001,-5.7064,22.1439
71896,23050.0,2026-05-26,142.3,140.9,141.55,0.65,5590,5135,20.6,-0.2046,0.0001,-5.7969,22.5687
71920,23100.0,2026-05-26,147.6,147.6,148.35,0.75,54210,67080,20.32,-0.2135,0.0001,-5.9163,23.1349
71942,23150.0,2026-05-26,154.7,154.6,155.45,0.85,2340,6890,20.32,-0.2195,0.0001,-5.9952,23.5206
71978,23200.0,2026-05-26,161.7,162.15,162.8,0.65,87165,105690,20.07,-0.2293,0.0002,-6.1124,24.0963
71980,23250.0,2026-05-26,171.35,170.55,171.45,0.9,5590,8775,20.06,-0.2354,0.0002,-6.1862,24.4669
71982,23300.0,2026-05-26,181.45,177.9,178.9,1.0,48035,87425,19.95,-0.2452,0.0002,-6.29,25.0053
72014,23350.0,2026-05-26,189.15,187.45,188.45,1.0,4420,6045,19.95,-0.2537,0.0002,-6.3732,25.4652
72016,23400.0,2026-05-26,196.5,195.8,196.85,1.05,38350,60060,19.64,-0.2619,0.0002,-6.453,25.8847
72020,23450.0,2026-05-26,209.7,205.35,208.75,3.4,4615,6760,19.71,-0.2702,0.0002,-6.5255,26.3039
72068,23500.0,2026-05-26,216.5,216.5,216.95,0.45,656045,1145170,19.53,-0.2794,0.0002,-6.6001,26.7334
72142,23550.0,2026-05-26,228.0,226.0,227.5,1.5,6175,6955,19.52,-0.2862,0.0002,-6.6537,27.0584
72147,23600.0,2026-05-26,238.95,237.7,239.0,1.3,36660,43680,19.45,-0.2968,0.0002,-6.7236,27.5077
72166,23650.0,2026-05-26,249.7,248.1,250.05,1.95,3705,5200,19.29,-0.3049,0.0002,-6.7738,27.8519
72168,23700.0,2026-05-26,262.6,260.8,262.45,1.65,52520,64025,19.24,-0.3141,0.0002,-6.825,28.213
72170,23750.0,2026-05-26,277.0,272.2,274.55,2.35,5590,9685,19.17,-0.3238,0.0002,-6.87,28.576
72172,23800.0,2026-05-26,287.0,287.0,288.2,1.2,73645,174395,19.04,-0.3337,0.0002,-6.9107,28.9177
72174,23850.0,2026-05-26,301.25,300.2,301.85,1.65,40560,31135,18.88,-0.3431,0.0002,-6.9429,29.2294
72176,23900.0,2026-05-26,314.85,313.8,315.2,1.4,36010,110370,18.83,-0.3522,0.0002,-6.9686,29.5147
72178,23950.0,2026-05-26,328.45,326.65,329.05,2.4,2340,6630,18.73,-0.3608,0.0002,-6.9872,29.7783
72180,24000.0,2026-05-26,341.9,341.4,342.2,0.8,714220,1232075,18.56,-0.372,0.0002,-7.0026,30.0665
72182,24050.0,2026-05-26,362.15,356.05,359.95,3.9,3185,5655,18.63,-0.3806,0.0002,-7.0101,30.2917
72184,24100.0,2026-05-26,376.45,375.35,376.5,1.15,56225,50960,18.48,-0.391,0.0002,-7.0116,30.5241
72186,24150.0,2026-05-26,396.35,389.65,393.85,4.2,3055,7540,18.48,-0.4004,0.0002,-7.005,30.7312
