token,strike,expiry,ltp,bid,ask,spread,day_volume,oi,iv,delta,gamma,theta,vega
72371,25750.0,2026-05-26,69.1,67.2,68.6,1.4,2730,8190,12.82,0.2972,0.0002,-10.6936,27.525
72373,25800.0,2026-05-26,62.25,61.8,62.55,0.75,88660,102960,12.78,0.2889,0.0002,-10.5276,27.1669
72375,25850.0,2026-05-26,57.1,55.95,57.35,1.4,3055,9750,12.8,0.2811,0.0002,-10.3657,26.819
72377,25900.0,2026-05-26,51.4,51.1,51.55,0.45,57720,48815,12.77,0.2729,0.0002,-10.1918,26.429
72379,25950.0,2026-05-26,46.25,45.45,46.7,1.25,11960,13715,12.64,0.2675,0.0002,-10.0793,26.1817
72381,26000.0,2026-05-26,41.75,41.55,41.8,0.25,855400,1424345,12.74,0.2578,0.0002,-9.8573,25.6783
72386,26050.0,2026-05-26,40.95,37.65,40.3,2.65,3315,5785,12.87,0.2526,0.0002,-9.7433,25.4224
72388,26100.0,2026-05-26,34.1,34.35,36.0,1.65,15990,23205,12.72,0.2428,0.0002,-9.5057,24.8736
72392,26200.0,2026-05-26,29.95,29.6,30.1,0.5,80535,87620,12.96,0.228,0.0002,-9.1388,24.0187
72452,26300.0,2026-05-26,25.5,25.05,25.55,0.5,19110,36790,13.14,0.2145,0.0001,-8.7927,23.2006
72454,26350.0,2026-05-26,22.3,21.4,25.0,3.6,1105,4875,12.92,0.2094,0.0001,-8.6607,22.8881
72470,26400.0,2026-05-26,21.0,19.25,21.15,1.9,3380,18525,13.03,0.203,0.0001,-8.4864,22.4708
72579,26500.0,2026-05-26,16.95,16.95,17.05,0.1,266370,432705,13.14,0.1884,0.0001,-8.0719,21.4621
72597,26600.0,2026-05-26,15.5,14.75,16.45,1.7,3120,22815,13.43,0.176,0.0001,-7.7046,20.5717
72601,26700.0,2026-05-26,13.1,12.6,13.45,0.85,5785,29575,13.83,0.1625,0.0001,-7.2837,19.5389
72605,26800.0,2026-05-26,11.2,11.2,12.0,0.8,4290,18915,13.72,0.1534,0.0001,-7.0024,18.8119
72607,26850.0,2026-05-26,12.2,9.95,13.0,3.05,650,5655,14.12,0.148,0.0001,-6.8243,18.3707
72615,26900.0,2026-05-26,9.8,9.65,10.95,1.3,6370,8515,13.93,0.1428,0.0001,-6.656,17.938
72619,27000.0,2026-05-26,8.85,8.75,8.85,0.1,266500,691665,14.18,0.1328,0.0001,-6.3137,17.0674
72623,27100.0,2026-05-26,8.0,7.5,9.35,1.85,5330,16640,14.35,0.1234,0.0001,-5.9827,16.2197
72625,27150.0,2026-05-26,7.55,7.55,9.85,2.3,910,5265,14.96,0.1167,0.0001,-5.7329,15.5905
72627,27200.0,2026-05-26,6.65,6.65,7.95,1.3,13195,33670,14.65,0.1148,0.0001,-5.6684,15.4095
72629,27250.0,2026-05-26,7.65,6.6,8.35,1.75,8320,29900,14.88,0.1111,0.0001,-5.5328,15.0627
